0,66
1,658
2,178
2,276
2,902
2,939
2,1125
2,1647
2,1987
3,1485
3,2213
3,2242
4,66
4,816
5,1312
5,2016
5,2056
6,435
6,1345
6,1527
7,372
7,1598
7,1869
8,1548
9,1335
9,1847
9,1860
10,984
12,131
12,638
12,896
12,1429
12,1989
14,29
14,882
15,296
15,756
15,1045
15,1329
16,1114
16,1302
17,306
17,519
17,1361
18,1832
18,2144
19,580
19,1291
20,1741
21,155
21,561
21,850
21,1486
21,1892
21,2007
21,2012
21,2076
21,2133
22,248
22,1744
23,1362
24,1813
24,1877
24,2118
25,1120
25,1371
25,1679
26,1439
26,1579
28,66
28,660
29,862
29,882
29,1917
30,415
30,985
31,664
33,1688
33,1864
34,1838
34,1850
35,903
35,1370
37,1307
38,771
38,903
38,2153
39,1496
39,1815
39,2239
41,438
41,1465
42,1674
43,1928
44,193
46,1891
46,2258
48,1175
49,78
49,282
49,346
49,483
49,575
49,767
49,805
49,1069
49,1122
49,1125
49,1143
49,1288
49,1365
49,1391
49,1809
49,2002
49,2031
49,2162
49,2251
51,1532
52,470
52,884
53,382
53,788
53,1627
53,1785
54,1634
54,1973
55,1076
55,1098
57,2169
58,2282
59,996
59,1494
60,322
60,384
61,168
61,1714
61,1765
61,2133
62,180
62,2204
63,1139
63,1923
64,467
64,1046
66,165
66,201
66,246
66,248
66,288
66,473
66,513
66,597
66,617
66,635
66,660
66,678
66,714
66,754
66,770
66,783
66,790
66,816
66,879
66,920
66,966
66,1035
66,1178
66,1408
66,1434
66,1718
66,1800
66,1896
66,2015
66,2044
66,2191
66,2269
66,2280
67,410
68,1285
69,2019
71,390
71,513
71,1901
72,780
72,1342
72,1924
73,357
74,1141
74,1966
75,928
75,1165
76,2167
77,1857
78,282
78,1069
78,2031
79,496
80,898
80,1425
80,2068
83,1129
84,380
84,844
84,1665
85,147
85,220
85,423
85,452
85,1583
85,2277
86,563
86,1240
86,1327
86,1434
86,1828
87,853
87,1089
88,1721
89,1621
89,1972
90,383
90,1730
91,512
91,1423
91,1865
93,453
93,723
94,2158
95,1018
96,332
96,1978
97,412
97,1184
97,1677
97,1875
97,2187
98,2160
99,590
99,2055
100,502
100,1221
100,1290
101,830
101,1374
101,2093
103,190
103,1471
104,854
105,194
105,821
105,905
105,1545
105,2065
105,2148
105,2240
106,251
106,1365
107,312
107,1934
107,2070
108,663
108,1419
109,802
110,1121
111,646
111,1957
112,270
112,440
112,476
112,533
112,552
112,555
112,820
112,1248
112,1577
112,2104
113,121
113,1191
113,1217
113,1745
114,1890
115,1479
116,385
116,531
116,1669
117,584
117,2077
118,427
118,611
118,1072
119,989
120,614
120,1594
120,1638
121,1745
122,132
122,320
122,1911
123,1275
125,463
126,1049
128,1791
129,1882
130,1113
131,173
131,205
131,261
131,285
131,294
131,506
131,638
131,769
131,896
131,1016
131,1429
131,1492
131,1699
131,1831
131,1989
131,2156
131,2182
132,320
132,1911
133,1406
134,1544
135,1384
135,1534
135,2220
136,733
136,1005
136,1266
136,2025
137,977
138,319
138,915
139,276
139,669
139,924
139,1501
139,2092
140,1839
141,1044
141,1612
141,1719
142,1531
142,2029
143,1152
143,1487
143,1721
143,1941
144,325
144,1408
145,1411
145,1595
147,220
147,2277
148,1118
148,1224
148,2036
149,768
149,1023
149,1027
149,1393
149,1806
150,494
151,697
151,1259
151,2125
152,1903
153,804
153,1460
153,2173
153,2261
154,1669
155,561
155,850
155,1486
155,1892
155,2007
155,2012
156,352
156,622
156,734
156,1130
156,1222
157,309
157,1517
158,505
158,667
158,860
158,867
158,989
158,1320
158,1450
158,1488
159,1362
160,1195
162,245
162,1054
162,1374
162,1452
163,190
163,981
163,1482
166,276
167,641
167,907
168,1714
168,2133
169,741
169,979
169,1078
169,1631
169,1908
170,599
170,1443
170,1657
170,1692
170,1791
171,334
171,711
171,1476
173,294
173,769
173,1492
173,1989
174,177
174,525
174,740
174,1197
174,1528
175,198
175,670
175,1323
175,1388
175,1442
175,1935
175,2234
176,318
176,1216
176,1504
176,1552
177,525
177,740
177,1197
177,1528
178,276
178,902
178,1125
178,1987
179,1435
179,2030
180,2204
181,231
181,426
181,1035
181,1554
181,1648
183,1169
183,1226
183,1269
184,1043
184,2178
185,570
185,1654
186,561
186,1509
186,1814
186,1892
187,302
187,822
188,212
188,1948
189,573
189,2259
190,276
190,655
190,833
190,923
190,955
190,981
190,991
190,1017
190,1471
190,1482
191,760
192,1599
194,821
194,905
194,1545
194,2065
194,2148
194,2240
195,347
195,967
196,1306
196,2183
197,964
197,1961
198,670
198,1935
198,2234
199,682
200,647
200,862
200,1142
202,1468
202,1768
202,1825
203,1365
203,1416
204,1279
205,261
205,285
205,1016
205,1989
206,1339
207,643
207,1365
207,2251
208,266
208,370
208,1037
209,897
210,222
210,310
210,1698
211,570
212,1948
213,1709
213,1889
214,1055
214,1717
216,581
216,648
216,1295
216,1907
218,1019
218,1419
218,1663
220,423
220,2277
221,730
221,1021
221,1791
222,310
222,1698
224,843
224,1660
224,1700
225,482
225,507
225,1549
225,1899
225,2270
226,1038
226,1155
227,258
227,968
227,1414
228,244
228,1706
229,475
229,1063
230,342
230,556
230,1212
230,1858
231,426
231,1035
231,1554
231,1648
232,530
232,574
232,1099
233,551
233,792
233,2027
234,1354
235,276
235,385
235,702
235,746
235,1143
235,1174
235,1187
235,1656
235,1987
235,2074
236,950
236,1203
237,444
237,1842
237,1915
238,273
240,1495
240,1817
241,911
243,1131
243,1428
245,265
245,362
245,915
245,1054
245,1106
245,1374
245,1445
245,1452
245,2131
246,635
246,2110
247,634
247,699
247,702
247,781
247,1987
248,473
248,617
248,783
248,1744
248,2052
249,401
249,565
249,1271
249,1343
249,1469
249,1697
249,1753
249,1981
249,2263
250,586
250,1596
250,1635
251,315
251,346
251,385
251,908
251,1365
251,1383
251,1987
252,1211
252,1952
253,497
253,1995
254,262
254,812
254,1477
255,2116
256,536
256,937
257,1111
257,1238
257,1491
258,968
258,1414
259,2001
260,879
260,1379
261,285
261,1016
261,1989
262,812
262,1477
264,433
264,1766
265,1106
265,2131
266,527
266,767
266,1128
266,1869
267,406
268,1028
268,2017
269,774
269,962
269,1092
269,1434
269,1582
270,440
270,476
270,552
270,555
270,1248
271,1576
271,1846
272,517
272,1311
274,1834
275,778
275,1431
275,1653
275,1849
276,385
276,591
276,702
276,706
276,729
276,746
276,817
276,823
276,902
276,924
276,939
276,1032
276,1125
276,1143
276,1174
276,1187
276,1505
276,1647
276,1656
276,1788
276,1987
276,2074
276,2092
276,2145
278,510
279,1756
280,1170
280,1193
281,323
281,478
281,1172
281,1775
282,805
282,1069
282,1809
282,2031
283,344
283,1592
284,592
284,624
284,1226
284,1573
284,2128
285,1016
285,1989
286,1007
287,546
288,1896
289,664
290,903
291,911
292,395
292,511
292,719
292,1274
292,1541
292,1661
292,1854
293,1071
293,1694
294,769
294,1492
294,1989
296,756
296,1045
296,1329
297,653
298,1020
299,852
300,1349
301,807
302,662
302,822
302,1214
302,1329
302,1928
302,2112
303,340
304,1308
304,1434
304,1575
304,2080
305,749
305,2072
305,2177
306,579
306,807
306,932
306,991
306,1188
306,1239
306,1353
306,1361
306,1506
307,397
307,2079
309,1517
310,1698
311,802
312,1934
312,2070
313,987
313,1109
313,1705
313,2047
314,2006
314,2045
315,385
315,1987
316,974
316,1278
317,352
317,516
318,1216
318,1504
318,1552
319,915
320,1911
321,409
321,2031
322,384
323,478
323,1172
323,1775
324,1772
325,1408
327,576
327,1507
328,468
328,1415
328,2146
329,1354
330,521
332,1978
333,533
334,1476
335,2259
337,385
339,465
339,1230
339,1565
340,359
340,460
340,997
340,2252
342,556
342,1212
342,1858
343,645
343,780
343,1716
343,1746
344,432
344,934
344,1592
344,2055
345,1065
345,1152
345,2269
346,1365
346,2031
347,967
348,785
348,1080
349,1408
349,2133
350,1124
350,2122
351,982
352,516
352,622
352,734
352,914
352,1130
352,1222
352,1587
353,373
353,619
353,1262
353,1936
354,849
354,2064
355,499
355,717
355,1667
355,2078
356,664
357,664
357,683
357,765
357,919
357,925
357,1004
357,1010
357,1198
357,1261
357,1287
357,1294
357,1444
357,1570
357,1958
357,1964
358,781
358,2133
359,460
359,2252
360,822
362,915
362,1445
362,2131
364,568
364,1112
364,1769
364,2211
366,456
366,625
367,1295
367,2241
370,1037
370,1372
370,1829
371,784
371,1437
372,1598
372,1869
373,619
373,1262
373,1936
374,757
374,1522
374,2221
375,659
375,794
376,385
376,1187
377,540
377,941
377,1529
378,1276
378,1457
378,2217
379,522
380,844
380,1665
381,437
381,868
381,1711
382,486
382,502
382,788
382,944
382,1176
382,1627
382,1785
382,1789
383,1730
385,413
385,531
385,595
385,702
385,746
385,813
385,953
385,1082
385,1143
385,1174
385,1187
385,1383
385,1555
385,1656
385,1669
385,1788
385,1987
385,2074
385,2176
386,2133
387,1151
388,1127
388,1774
388,1988
389,753
389,2195
389,2278
390,513
390,1901
390,2028
391,657
391,2230
393,1718
394,1264
395,511
395,719
395,1274
395,1541
395,1661
395,1854
396,1063
397,2079
398,999
398,1987
398,2011
398,2041
399,761
399,877
400,1630
400,2196
401,565
401,1271
401,1343
401,1469
401,1697
401,1753
401,1981
401,2263
402,992
402,1535
402,1782
403,620
406,2094
407,2031
408,1626
409,678
409,1014
409,1178
409,1650
409,2031
411,590
411,1074
411,1907
411,1970
411,2159
412,1184
412,1677
412,1875
412,2187
414,1980
415,985
417,738
418,421
418,1108
418,2202
419,1149
420,1168
420,1408
421,1108
421,2202
422,481
422,739
422,951
424,1152
424,1721
425,1351
426,513
426,1035
426,1554
426,1648
426,2028
426,2133
427,611
427,1072
428,815
428,1930
429,1607
429,1922
429,1927
430,1420
430,1886
431,797
431,1272
432,934
432,2055
433,1766
434,866
434,1031
434,1300
435,1345
435,1527
436,613
437,868
437,1711
438,1465
439,584
439,1248
439,2207
440,476
440,552
440,555
440,1248
441,454
441,1293
441,1523
441,1589
441,1676
441,1720
442,464
442,640
442,1289
442,1885
442,2022
444,1842
444,1915
445,2096
446,690
446,849
446,2084
447,1058
448,806
448,1060
448,1426
448,2190
452,1583
453,535
453,723
453,935
453,1292
453,1431
453,2066
454,1293
454,1523
454,1589
454,1613
454,1676
454,1720
455,1693
455,2050
457,903
458,838
458,1772
459,1432
460,2252
461,759
461,1110
461,1935
462,2133
464,640
464,1289
464,1885
464,2022
465,1230
465,1565
466,686
466,2117
467,1046
468,1415
468,2146
469,2233
470,884
471,1945
471,2062
472,550
472,1644
473,617
473,722
473,783
476,552
476,555
476,1248
478,1172
478,1775
480,603
481,739
481,951
482,1115
482,1524
482,1899
482,2270
483,1052
483,1767
483,2031
483,2180
483,2193
483,2251
484,696
484,1356
484,1754
485,1916
486,502
486,944
486,1176
486,1789
487,1856
488,703
488,2059
491,1358
491,2086
493,1105
493,1562
493,1564
493,1833
495,1408
495,1571
497,1995
498,819
498,1932
499,717
500,1392
501,508
502,944
502,1176
502,1221
502,1290
502,1301
502,1724
502,1789
502,2058
502,2090
504,1123
